2,0.10059,-0.95306,-0.26068,3.9,2.6,3.1,2.2,2.7,4,0.049158,0.051282,0.040731,2.4039,1.3917,1.7442,0.41039,1.7199,2.1521,0.040587,0.038994,0.032947,1.9,1.12,1.34,0.32,1.24,2,3.0661,23.754
2,0.06216,-0.95587,-0.24948,2.6,1.2,2.7,1.6,2.2,2.8,0.019889,0.037896,0.026459,1.3139,0.41039,1.0311,0.82078,0.61559,1.3611,0.017009,0.031126,0.02047,1.08,0.32,0.9,0.72,0.48,1.04,8.5401,67.562
2,0.09416,-0.96482,-0.20238,2.1,1.4,2.5,1.2,1.8,2,0.020932,0.036198,0.018171,0.85224,0.82078,1.539,0.41039,1.105,1.2978,0.01687,0.028175,0.015387,0.72,0.64,1.3,0.32,0.96,1.2,15.585,117.69
2,0.07561,-0.96007,-0.21479,2.3,1.8,2.3,1.6,2.5,4,0.02668,0.034391,0.032278,1.4546,0.76777,1.1286,0.82078,1.3955,2.753,0.020649,0.027713,0.026368,1.22,0.64,0.82,0.72,1.2,2,23.91,176.62
2,0.046851,-0.97142,-0.19402,1.9,1.6,2.7,1.8,3.3,2.2,0.020078,0.046111,0.024862,1.3338,0.50262,1.8382,0.76777,1.1286,1.0052,0.015136,0.038238,0.020591,1.08,0.48,1.7,0.64,0.9,0.96,33.337,242.14
2,0.049513,-0.9702,-0.18338,2.5,1.2,4.8,3.4,1.9,3.2,0.024059,0.084947,0.022817,1.9057,0.41039,2.3753,1.5355,0.96791,1.5079,0.0172,0.072454,0.01871,1.5,0.32,1.8,1.28,0.72,1.36,43.76,315.05
2,0.041904,-0.97619,-0.18384,3.1,1.6,2.2,2.2,2.3,2.2,0.030415,0.051139,0.024185,1.4105,0.82078,1.4364,1.1965,1.8382,1.1965,0.023861,0.040395,0.018706,1.14,0.72,1.24,1.04,1.28,1.04,55.089,396.06
2,0.038695,-0.96731,-0.17906,1.7,1.2,2.4,2.8,1.6,3,0.016194,0.050825,0.02067,1.0311,0.41039,1.5355,0.76777,0.68056,1.8353,0.011617,0.043111,0.01536,0.84,0.32,1.16,0.64,0.6,1.6,67.256,481.75
2,0.032842,-0.97674,-0.18545,2.1,1.6,3.9,2,2.5,2.8,0.020448,0.058058,0.024736,0.96791,0.82078,1.619,0.91766,1.3179,1.5079,0.01514,0.048308,0.018628,0.74,0.72,1.32,0.8,1.1,1.36,80.213,571.84
2,0.054581,-0.9762,-0.16932,2.3,1,2.2,2.2,2,2.2,0.020492,0.038191,0.020776,1.2183,0,0.89443,0.76777,1.214,0.76777,0.015623,0.031686,0.015856,1.1,0,0.68,0.64,0.8,0.64,93.915,666.52
2,0.042623,-0.98003,-0.17307,2.1,1.2,1.7,2.2,2,2.6,0.023309,0.031385,0.02358,1.1653,0.41039,1.0311,0.76777,1.214,1.2312,0.01825,0.0229,0.018726,0.76,0.32,0.84,0.64,0.8,1.12,108.32,764.18
2,0.022778,-0.98424,-0.18122,2.2,1.6,2,1.6,1.6,2.2,0.021141,0.029546,0.017485,1.1965,0.50262,1.026,0.82078,0.82078,1.5079,0.015104,0.023726,0.011073,0.88,0.48,0.8,0.72,0.72,1.44,123.4,865.03
2,0.028681,-0.99039,-0.17537,1.7,1.6,2.3,1.4,1.6,1.8,0.021245,0.032863,0.016983,0.92338,0.50262,1.1286,0.82078,0.94032,1.0052,0.016772,0.027803,0.012469,0.84,0.48,0.96,0.64,0.72,0.96,139.14,968.13
2,0.037657,-0.98822,-0.17516,1.7,1.6,4.4,2.8,2,2.2,0.019528,0.080894,0.024266,0.80131,0.82078,3.0505,1.3611,1.3765,1.1965,0.01575,0.063708,0.014905,0.7,0.72,2.8,1.04,1.2,1.04,155.5,1074.6
2,0.036929,-0.98317,-0.17592,2.2,1.4,3.5,2,1.9,2.4,0.019395,0.054481,0.019211,1.0052,0.50262,1.6702,0.91766,1.5526,0.82078,0.014878,0.045422,0.013866,0.84,0.48,1.4,0.8,1.08,0.72,172.48,1186.2
