Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
2,0.1331,-0.87825,-0.1339,5,3,6,3,5,9,0.030288,0.0413,0.028392,1.3068,0.72955,1.5576,0.75593,1.3726,2.0996,0.023861,0.033571,0.023589,1.0688,0.6336,1.3472,0.672,1.2224,1.28,11.929,3407.9
2,0.12001,-0.84583,-0.12944,7,3,10,5,7,5,0.025426,0.067048,0.023312,1.6132,0.62073,2.2475,1.3797,1.3547,1.4758,0.018932,0.056206,0.018345,1.3056,0.4864,1.792,1.1136,0.864,1.2992,22.112,6117
2,0.10182,-0.87059,-0.13321,4,3,6,3,5,5,0.021892,0.046989,0.022781,1.0872,0.62073,1.5301,0.79179,1.2095,1.4032,0.017696,0.039035,0.017159,0.9312,0.4864,1.2736,0.672,0.9152,1.184,34.305,9120
2,0.095108,-0.90456,-0.12268,5,2,4,3,5,4,0.023983,0.030703,0.019168,1.14,0.50467,1.0029,0.87225,0.97813,1.3401,0.01794,0.024873,0.013146,0.8352,0.4992,0.8448,0.7744,0.7616,1.216,48.222,12187
2,0.071136,-0.84219,-0.1096,4,3,8,5,6,4,0.018819,0.06255,0.021366,0.91785,0.6465,2.3338,1.2229,1.3845,1.011,0.015319,0.048955,0.015053,0.7744,0.576,1.9328,1.024,1.0752,0.9088,63.766,15456
2,0.092621,-0.87079,-0.11983,7,3,7,4,6,5,0.025405,0.054692,0.025553,1.6343,0.63888,1.8277,1.1066,1.7733,1.4591,0.020021,0.044315,0.018904,1.376,0.544,1.536,0.96,1.5264,1.248,80.823,19043
2,0.10051,-0.90691,-0.063705,4,3,5,4,4,7,0.019524,0.040111,0.030176,0.80204,0.63116,1.4868,0.79179,1.1669,1.7585,0.015591,0.02829,0.023351,0.6656,0.5632,1.2832,0.5376,0.9504,1.3696,99.272,22708
2,0.13123,-0.79245,0.005478,6,4,12,7,6,8,0.039354,0.083053,0.042162,1.4032,1.1168,3.3554,1.9696,1.4702,2.241,0.02976,0.055815,0.034925,1.1424,0.9472,2.4576,1.6064,1.2448,1.856,119.04,27243
2,0.056931,-0.84576,0.064392,6,4,11,5,5,9,0.030167,0.055732,0.031958,1.2216,0.87037,2.1135,1.5097,1.2454,2.4664,0.023745,0.037142,0.023761,0.9472,0.6656,1.2992,1.3824,1.056,1.8688,140.12,33256
2,0.015854,-0.89632,-0.011581,6,4,6,4,4,6,0.062173,0.042488,0.0992,1.3856,1.0797,1.4879,0.90711,1.0428,1.7219,0.051831,0.032363,0.089442,1.136,0.928,1.184,0.7168,0.8128,1.4848,162.37,39717
2,-0.021729,-0.84273,-0.17865,8,5,10,4,8,10,0.045879,0.06363,0.045744,2.0933,1.2867,2.3685,1.069,2.2699,2.912,0.037971,0.045273,0.036958,1.488,1.0048,1.7696,0.896,2.016,2.528,185.6,46636
2,0.25826,-0.88977,-0.1243,6,6,5,4,5,7,0.086042,0.038305,0.034641,1.7313,1.6193,1.2454,0.9267,1.1528,1.8969,0.075565,0.030188,0.027884,1.4816,1.4208,0.992,0.7488,0.912,1.5232,209.76,54161
2,0.23088,-0.84155,-0.18395,5,4,3,3,5,5,0.057849,0.039951,0.035014,1.1613,1.0506,0.72955,0.92494,1.0812,1.3997,0.048152,0.031308,0.027439,0.976,0.9664,0.6336,0.8448,0.8736,1.152,234.75,61754
2,0.10069,-0.88519,-0.25548,4,3,4,4,5,4,0.022832,0.030513,0.019708,0.81416,0.9267,0.88156,1.011,1.1877,1.0506,0.018245,0.023573,0.015574,0.6656,0.864,0.6912,0.864,0.9728,0.896,260.45,69363
2,0.070404,-0.87392,-0.2462,4,3,5,3,5,6,0.019662,0.033032,0.022034,0.96806,0.63116,1.1314,0.69985,1.178,1.7171,0.016215,0.024912,0.017392,0.7008,0.5632,0.8736,0.576,0.928,1.504,286.87,76990
2,0.064697,-0.8745,-0.18701,6,2,5,4,5,7,0.026968,0.038847,0.029897,1.4365,0.49487,1.3254,1.0093,1.2095,1.7677,0.021657,0.031846,0.02405,1.2288,0.48,1.1584,0.8448,0.9888,1.3248,314.01,84669
2,0.077286,-0.88242,-0.1873,5,4,6,4,9,7,0.02552,0.041663,0.033066,1.1314,0.80812,1.5119,0.96129,2.03,1.8268,0.020027,0.033391,0.026671,0.9248,0.48,1.216,0.7744,1.5584,1.4656,341.89,92428
2,0.099091,-0.82736,-0.19087,4,3,7,3,4,7,0.021697,0.034804,0.024097,0.94761,0.80812,1.3797,0.6465,0.85141,1.7677,0.016672,0.024723,0.020031,0.768,0.704,1.0336,0.576,0.7168,1.4464,370.48,1.0036e+05
2,0.11234,-0.8804,-0.17696,4,2,4,3,4,5,0.025926,0.032904,0.02512,0.98974,0.47121,1.0174,0.659,0.88156,1.1095,0.020592,0.0256,0.020381,0.832,0.4352,0.8736,0.4928,0.7488,0.8832,399.76,1.0833e+05
2,0.073654,-0.90829,-0.14481,4,3,3,3,3,4,0.025507,0.028176,0.018686,0.94415,0.63116,0.72955,0.76024,0.62073,0.95276,0.020064,0.02177,0.014517,0.736,0.5184,0.6336,0.672,0.4864,0.7488,429.73,1.163e+05
2,0.054367,-0.91193,-0.11066,3,4,3,3,4,4,0.017735,0.024121,0.015782,0.80407,0.85141,0.56279,0.62073,0.77301,0.91607,0.014045,0.018707,0.012204,0.6624,0.576,0.4896,0.4864,0.5632,0.7296,460.41,1.2427e+05
2,0.033661,-0.91534,-0.09996,4,3,3,3,5,6,0.017619,0.030168,0.019937,0.82214,0.60744,0.64397,0.7835,1.111,1.546,0.013981,0.024596,0.015044,0.6688,0.448,0.5632,0.6912,0.7296,1.2672,491.79,1.3225e+05
2,0.043243,-0.89305,-0.010437,5,5,5,5,8,6,0.027486,0.038761,0.042406,1.1183,1.3068,1.1891,1.2879,1.6041,1.9795,0.02191,0.028046,0.035018,0.8448,1.0304,0.9632,0.9856,1.1712,1.792,523.89,1.403e+05
2,0.040298,-0.9659,-0.031387,4,3,3,1,5,7,0.017765,0.011691,0.027716,0.79385,0.5481,0.43519,0,1.0333,1.7066,0.014299,0.0090724,0.021228,0.6528,0.2944,0.2208,0,0.7616,1.2032,556.75,1.4842e+05
2,0.05867,-0.95279,-0.15154,2,1,1,1,2,4,0.010228,0.00919,0.015997,0.27405,0,0,0,0.43142,0.85714,0.0075528,0.0077719,0.011009,0.1472,0,0,0,0.3648,0.672,590.29,1.5655e+05
2,0.033157,-0.95639,-0.17944,2,1,1,1,2,2,0.0042822,0.0066377,0.0074995,0.19795,0,0,0,0.19795,0.37033,0.0033481,0.0052818,0.0050505,0.0768,0,0,0,0.0768,0.2688,624.44,1.6467e+05
2,0.10686,-0.91661,-0.18787,2,2,1,1,2,4,0.034019,0.016268,0.067658,0.27405,0.37033,0,0,0.37033,0.9267,0.031592,0.014205,0.063378,0.1472,0.2688,0,0,0.2688,0.7488,659.17,1.7279e+05
2,0.1167,-0.87089,-0.24905,6,2,4,3,3,4,0.021529,0.031649,0.029829,1.3242,0.50143,0.94761,0.60744,0.57994,1.0349,0.016709,0.024825,0.024193,0.9408,0.4928,0.8,0.448,0.5376,0.896,694.43,1.8092e+05
2,0.13295,-0.83505,-0.20229,6,5,6,6,5,7,0.032519,0.054551,0.034388,1.4602,1.069,1.3797,1.5312,1.3118,1.8357,0.025914,0.042724,0.027645,1.2576,0.64,1.0432,1.2352,1.168,1.632,730.22,1.8911e+05
2,0.11052,-0.84088,-0.2151,5,4,7,5,7,7,0.028881,0.058646,0.02832,1.0645,1.1429,1.9588,1.4535,1.4846,2.0187,0.023703,0.045007,0.022934,0.8832,0.96,1.696,1.2096,1.152,1.696,766.56,1.9743e+05
2,0.11287,-0.92024,-0.20839,5,2,3,2,3,4,0.020947,0.024001,0.021197,1.0812,0.50467,0.69985,0.43142,0.74942,1.0812,0.016494,0.018928,0.016635,0.8448,0.4992,0.624,0.3648,0.6656,0.8832,803.44,2.0581e+05
2,0.088348,-0.91411,-0.21254,4,2,3,2,4,4,0.01947,0.027606,0.018058,0.85714,0.48487,0.67128,0.47121,0.85714,1.2296,0.01563,0.021644,0.014658,0.704,0.4608,0.576,0.4352,0.72,1.1136,840.88,2.142e+05
2,0.15295,-0.83591,-0.19612,7,5,6,5,6,8,0.037931,0.049105,0.028823,1.7961,1.2362,1.5386,1.178,1.2122,1.9529,0.031107,0.038319,0.023053,1.424,1.024,1.232,0.96,0.912,1.4464,878.88,2.2262e+05
2,0.17499,-0.72374,-0.17882,10,6,14,11,16,15,0.045909,0.10935,0.058771,2.419,1.7171,3.8345,3.1934,3.4324,3.8954,0.035847,0.080512,0.047166,1.9936,1.504,3.1072,2.8096,2.576,2.9696,917.44,2.3541e+05
2,0.10686,-0.83449,-0.25183,5,3,6,3,5,3,0.019459,0.035565,0.02137,1.1241,0.64397,1.2296,0.60744,1.2122,0.63116,0.015748,0.02783,0.016767,0.8448,0.5824,0.976,0.5184,1.024,0.5632,956.5,2.5008e+05
2,0.11124,-0.866,-0.19923,5,3,6,3,4,6,0.02835,0.039501,0.028047,1.1036,0.72955,1.4569,0.83397,1.0302,1.5119,0.022803,0.028911,0.022445,0.8352,0.6336,1.2,0.7488,0.832,1.28,996.01,2.6476e+05
2,0.067871,-0.77919,-0.16646,5,3,7,6,6,4,0.026618,0.061416,0.025162,1.3377,0.62073,1.5386,1.664,1.3438,0.94761,0.022211,0.046464,0.020889,1.1424,0.4864,1.28,1.5232,1.1008,0.8,1036,2.7947e+05
2,0.033813,-0.89017,-0.14082,7,2,4,3,3,3,0.024008,0.031174,0.018212,1.3547,0.43142,0.94761,0.6465,0.7709,0.716,0.019782,0.02307,0.014387,0.864,0.3648,0.768,0.576,0.6688,0.608,1076.5,2.942e+05
2,0.083527,-0.85142,-0.13971,4,3,3,3,5,5,0.025674,0.035599,0.020062,1.0174,0.76024,0.7045,0.83397,1.261,1.2778,0.02046,0.027512,0.015197,0.8064,0.672,0.6272,0.7488,1.0176,0.96,1117.6,3.0893e+05
2,0.072937,-0.87738,-0.090607,4,2,3,2,4,5,0.016839,0.024582,0.020303,0.80407,0.19795,0.63888,0.50467,0.85714,0.96129,0.013529,0.020049,0.015434,0.5952,0.0768,0.544,0.4992,0.72,0.704,1159.1,3.2367e+05
2,0.079361,-0.88971,-0.10255,4,2,4,3,5,5,0.017952,0.03327,0.023143,0.79179,0.50143,0.94242,0.72955,1.313,1.4988,0.014899,0.025664,0.018207,0.6048,0.4928,0.768,0.6336,1.1424,1.3184,1201.1,3.3842e+05
2,0.086105,-0.82312,-0.07579,10,4,7,8,5,8,0.025592,0.066049,0.025815,1.9811,0.59385,1.7585,1.5826,1.1095,1.884,0.018194,0.039823,0.020675,1.408,0.2304,1.3056,1.1648,0.9376,1.5616,1243.6,3.5319e+05
2,0.083145,-0.85356,-0.064651,3,4,5,8,4,8,0.016651,0.03378,0.027773,0.70682,0.69282,1.3401,1.449,0.90711,1.5908,0.012965,0.023081,0.022752,0.6144,0.5184,1.024,0.8704,0.7616,1.216,1286.6,3.6811e+05
2,0.050873,-0.87547,0.006073,6,4,7,5,6,7,0.025249,0.048126,0.029514,1.5365,0.8437,1.6787,1.3303,1.5194,2.2227,0.020142,0.034492,0.02184,1.1552,0.5376,1.2256,1.0752,1.2672,1.824,1330.2,3.8307e+05
2,0.054703,-0.85814,-0.026581,6,3,8,3,6,5,0.020234,0.044026,0.024707,1.1945,0.63888,1.9353,0.75593,1.3093,0.96129,0.01635,0.032602,0.018705,0.8448,0.544,1.3984,0.672,0.992,0.7744,1374.3,3.981e+05
2,0.13315,-0.78024,0.004089,12,4,13,8,9,11,0.045141,0.098994,0.043597,2.8284,0.78142,3.0973,2.3857,2.5568,3.0372,0.032715,0.07338,0.033633,2.24,0.4672,2.3584,2.144,2.112,2.4,1419,4.1365e+05
2,0.33708,-0.74174,0.046997,13,8,12,12,11,7,0.086668,0.1261,0.056778,3.0091,2.2857,3.5626,3.4461,2.603,2.0548,0.068839,0.0951,0.045944,2.2432,1.856,2.928,2.7584,2.08,1.9072,1464.3,4.3107e+05
2,0.25912,-0.82439,0.012115,6,4,9,8,6,7,0.071824,0.078342,0.043574,1.598,0.9267,2.042,1.9445,1.6777,1.8631,0.063507,0.058233,0.035018,1.4112,0.7488,1.6832,1.4336,1.4016,1.4912,1510.3,4.4943e+05
2,0.13232,-0.87674,-0.063232,5,3,12,6,5,7,0.031279,0.065705,0.026397,1.1599,0.6465,2.7701,1.069,1.2296,1.787,0.024592,0.044634,0.021076,0.9216,0.576,2.032,0.64,1.056,1.3312,1556.9,4.6809e+05
2,0.082275,-0.799,-0.046875,5,3,10,7,7,10,0.023482,0.068922,0.038403,1.1599,0.82214,2.3644,1.9055,1.7861,2.4578,0.01943,0.045294,0.031137,0.768,0.7296,1.7184,1.4592,1.3984,1.696,1604.1,4.8695e+05
2,0.15765,-0.8916,-0.009811,9,7,4,3,6,8,0.034804,0.039849,0.043053,2.1358,1.7143,1.2095,0.72955,1.2282,1.7843,0.023093,0.030226,0.037762,1.728,1.12,1.0304,0.6336,0.9216,1.12,1651.7,5.0589e+05
2,0.13783,-0.68686,0.030548,9,6,10,13,13,15,0.04398,0.090124,0.062106,2.5504,1.4879,2.6601,3.4348,2.8503,4.2177,0.032534,0.056692,0.051666,2.0352,1.1328,1.9424,2.5792,1.9392,3.2512,1699.9,5.2641e+05
2,0.013748,-0.9584,0.11401,4,3,4,3,3,4,0.023372,0.03292,0.026169,0.88893,0.6465,0.91607,0.69985,0.80812,1.1314,0.018423,0.025982,0.021155,0.7392,0.5824,0.7296,0.576,0.72,0.992,1748.7,5.4754e+05
2,0.091431,-0.94736,0.068039,2,2,2,2,4,7,0.042871,0.021389,0.10343,0.32826,0.43142,0.19795,0.37033,0.86284,2.0179,0.038,0.016865,0.094064,0.2112,0.3648,0.0768,0.2688,0.6656,1.5872,1798,5.6867e+05
2,0.072983,-0.9561,-0.16219,1,1,1,1,1,1,0.0038253,0.0091658,0.0057538,0,0,0,0,0,0,0.0030478,0.0078456,0.0050491,0,0,0,0,0,0,1847.7,5.8981e+05
2,0.069199,-0.95934,-0.16502,1,1,1,1,1,1,0.0027738,0.0076253,0.0049264,0,0,0,0,0,0,0.0022571,0.0063584,0.0042718,0,0,0,0,0,0,1897.8,6.1096e+05
2,0.12343,-0.94446,-0.16235,1,1,1,1,2,3,0.018729,0.010053,0.042932,0,0,0,0,0.32826,0.76024,0.014813,0.0083208,0.035534,0,0,0,0,0.2112,0.672,1948.4,6.321e+05
2,0.20552,-0.88913,-0.19348,7,13,3,3,3,5,0.060909,0.026288,0.027984,1.8043,3.0506,0.55107,0.76024,0.70682,1.3962,0.040067,0.018864,0.019877,1.5008,2.432,0.4608,0.672,0.624,1.2544,1999.4,6.5326e+05
2,0.23566,-0.74528,-0.15057,12,13,9,9,7,7,0.089937,0.094741,0.042033,2.8417,2.8474,2.4578,2.8209,1.8796,1.764,0.068864,0.072939,0.033414,2.3296,2.2336,2.064,2.4384,1.568,1.4592,2050.7,6.7511e+05
2,0.16693,-0.74759,-0.18169,10,9,11,7,9,16,0.091219,0.069962,0.060998,2.5182,2.7476,2.2256,1.7162,2.0777,3.72,0.067187,0.047376,0.045159,1.9776,1.984,1.4976,1.3184,1.5808,2.1056,2102.5,6.9868e+05
2,0.10715,-0.87871,-0.29277,4,4,3,3,3,4,0.04592,0.024485,0.024803,0.79385,0.73845,0.53605,0.62073,0.70682,1.1021,0.037344,0.017969,0.019931,0.6528,0.5376,0.4256,0.4864,0.6144,0.9856,2154.7,7.2258e+05
2,0.13178,-0.87692,-0.33603,3,3,2,3,3,4,0.015296,0.021864,0.01584,0.69985,0.51745,0.48487,0.6465,0.82214,1.0872,0.011956,0.017656,0.012973,0.576,0.384,0.4608,0.576,0.7296,0.9984,2207.1,7.4648e+05
2,0.19345,-0.88368,-0.28108,5,3,3,2,3,4,0.021039,0.024063,0.020181,0.95959,0.67128,0.56279,0.37033,0.64397,1.178,0.01718,0.018676,0.01721,0.7296,0.576,0.4896,0.2688,0.5824,0.992,2259.9,7.7038e+05
2,0.18967,-0.84171,-0.1895,4,3,5,5,5,11,0.027657,0.043824,0.031965,0.92494,0.80812,1.2778,1.3547,1.0721,2.8611,0.022459,0.031952,0.02485,0.768,0.64,1.04,1.152,0.8928,2.0544,2312.9,7.9435e+05
2,0.18997,-0.86089,-0.18289,4,3,4,3,5,6,0.021426,0.029699,0.027921,0.96975,0.74066,0.81416,0.75593,1.3093,1.7861,0.016307,0.022787,0.022028,0.8064,0.6528,0.6656,0.608,1.136,1.6128,2366.4,8.1842e+05
2,0.17831,-0.869,-0.1494,4,6,5,4,5,5,0.043149,0.04014,0.034033,1.0428,1.6922,1.2752,0.86284,1.1669,1.1613,0.033162,0.032298,0.02701,0.9152,1.4016,0.9952,0.6656,0.8736,0.9088,2420.1,8.4249e+05
2,0.10138,-0.91129,-0.057587,5,4,6,3,7,10,0.028215,0.0396,0.029822,1.1256,1.1036,1.546,0.6465,1.6679,2.4088,0.022825,0.02905,0.020655,0.8608,0.8832,1.1648,0.5824,1.3472,1.5616,2474.2,8.6659e+05
2,0.076218,-0.91925,-0.13377,4,1,3,3,3,3,0.013877,0.025204,0.019529,0.83397,0,0.55107,0.83397,0.6465,0.72955,0.010783,0.02025,0.0148,0.6912,0,0.4608,0.7488,0.5824,0.6336,2528.8,8.9077e+05
2,0.066772,-0.8987,-0.15436,3,3,3,4,3,3,0.018216,0.025675,0.011032,0.79179,0.6465,0.76024,0.86094,0.57143,0.76238,0.014435,0.018836,0.0081705,0.672,0.576,0.672,0.672,0.512,0.6528,2583.7,9.1495e+05
2,0.1126,-0.84361,-0.061371,8,5,8,3,6,4,0.029023,0.040381,0.024357,2.1759,1.2943,1.6689,0.76024,1.1066,0.90711,0.01988,0.029602,0.017015,1.632,0.9792,1.2128,0.6336,0.768,0.7168,2639.1,9.3914e+05
2,0.06749,-0.91733,-0.027145,4,4,5,2,3,5,0.021925,0.03106,0.028872,0.7835,1.1021,1.2229,0.48487,0.70682,1.1429,0.016168,0.022185,0.022014,0.6336,0.8704,0.9152,0.4608,0.624,0.896,2694.8,9.6337e+05
2,0.30843,-0.81624,0.009811,8,8,6,5,6,11,0.082756,0.048661,0.048601,1.8969,2.148,1.6483,1.1429,1.1314,2.763,0.067706,0.029501,0.040236,1.3216,1.5232,1.3664,0.896,0.8064,2.1184,2751,9.8765e+05
2,0.43391,-0.84184,-0.008636,9,9,8,6,9,12,0.072908,0.059502,0.068524,2.2446,2.4075,1.7379,1.6092,1.8187,2.7595,0.054182,0.046648,0.057019,1.8496,1.952,1.328,1.2928,1.3664,1.9072,2807.6,1.0124e+06
