Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
1,0.11499,-1.0254,-0.19983,2.6,2.4,4.2,4.4,4.4,3.6,0.056005,0.193,0.10475,1.4298,0.5164,5.3083,1.2649,4.0332,1.2649,0.045685,0.13528,0.070799,1.12,0.48,3.92,0.96,3.68,1.12,6.4902,60.024
1,0.059485,-0.98625,-0.23791,3,4.2,2.4,6.8,3.4,4.4,0.056581,0.19858,0.082073,2.4037,2.044,1.2649,3.9101,4.0332,3.5024,0.045786,0.15755,0.063331,2,1.76,1.12,2.88,3.04,2.72,11.66,111.74
1,0.18509,-0.88455,-0.16818,2.4,4.2,2.4,6,2.4,3.2,0.04051,0.085661,0.04714,1.8379,1.5492,1.075,4.3205,0.84327,3.6148,0.030556,0.061605,0.038762,1.68,1.12,0.88,3.2,0.72,2.72,17.769,179.91
1,0.043591,-0.9735,-0.18044,5.2,4.6,4.4,6.8,4.8,5.2,0.074699,0.22542,0.09993,3.2931,2.3664,3.9215,3.1552,3.7357,5.0067,0.052954,0.17724,0.060399,2.64,1.92,3.28,2.56,3.36,4.64,24.697,262.16
1,0.14422,-1.0014,-0.17738,3.4,5,3.6,3.2,4.2,4,0.07819,0.19389,0.10929,2.3664,2.1082,3.4383,1.5492,3.5528,1.7638,0.060442,0.14902,0.096077,2.08,1.6,2.56,1.44,3.04,1.6,32.335,351.33
1,0.082341,-1.0275,-0.16859,4,7.4,4.4,3.4,4.2,3.6,0.11602,0.20056,0.080882,2.6667,4.7889,4.0332,2.9515,3.2931,2.9515,0.093992,0.16375,0.06383,2.4,4.32,3.04,2.24,2.32,2.72,40.623,447.86
1,0.04117,-0.98902,-0.22806,4,4.2,2.2,5.8,5,2.8,0.054268,0.224,0.09111,2,2.5298,1.0328,3.2931,5.2915,0.42164,0.044292,0.17196,0.067576,1.6,1.92,0.72,3.04,4.4,0.32,49.509,554.11
1,0.15817,-0.8966,-0.13185,3,4,2,2.2,1.4,3.2,0.052545,0.09121,0.060779,1.7638,1.7638,1.1547,1.5492,0.5164,0.42164,0.042188,0.057172,0.051984,1.6,1.6,0.8,1.12,0.48,0.32,58.974,665.52
1,0.028963,-0.96475,-0.16686,4.2,2.4,4.6,3.8,5.4,4,0.067557,0.20325,0.095196,2.9364,0.5164,2.8752,2.4404,4.1419,0,0.049325,0.16946,0.058029,2.24,0.48,2.32,2.24,3.68,0,68.976,782.06
1,0.1448,-0.9933,-0.20647,3.6,4.6,4.6,5.8,5.2,5,0.075029,0.20374,0.098007,2.9515,2.0656,4.5019,2.044,4.1312,1.1547,0.058472,0.15899,0.073985,2.16,1.92,3.36,1.76,3.44,0.8,79.486,905.26
1,0.094418,-1.0017,-0.19144,4.6,3,2.6,7.8,5.4,4.6,0.12024,0.17695,0.1041,1.9551,1.8856,2.8752,3.1552,3.2387,0.84327,0.098887,0.14935,0.066872,1.52,1.6,2.16,2.56,2.88,0.64,90.468,1034.4
1,0.055127,-0.97404,-0.22178,1.8,3.4,3,4.4,3.6,3.6,0.052261,0.17742,0.050553,1.2293,0.5164,1.4907,1.9551,1.9551,3.3731,0.037762,0.1321,0.039421,0.96,0.48,1.2,1.44,1.52,2.56,101.9,1168.9
1,0.13832,-0.90213,-0.14989,2.8,4.6,4,4,4.4,2.8,0.052905,0.11125,0.086951,1.3984,0.84327,1.3333,2.3094,2.5473,3.7947,0.042231,0.087799,0.062384,1.04,0.64,0.8,1.6,1.84,2.88,113.78,1308.5
1,0.035803,-0.99989,-0.17049,1.8,5.8,4.6,1.6,4.2,4.8,0.065843,0.21077,0.11153,1.0328,2.5298,2.9515,0.5164,1.2293,2.044,0.048859,0.16111,0.086571,0.96,1.92,2.16,0.48,1.04,1.76,126.1,1452.2
1,0.10301,-1.0192,-0.16763,2.4,2.2,2.6,3.2,4.6,1.6,0.082784,0.1571,0.082318,1.2649,1.5492,1.5776,1.5492,3.8064,0.5164,0.074051,0.12651,0.054854,1.12,1.44,1.28,1.44,3.12,0.48,138.83,1598.4
1,0.11841,-1,-0.21021,1.6,3.6,3.4,6,2.6,4.6,0.060987,0.18452,0.058057,0.84327,0.5164,2.4585,2.8284,1.4298,0.5164,0.043837,0.14284,0.041321,0.72,0.48,1.84,2.4,1.12,0.48,151.95,1747.3
1,0.037503,-0.91285,-0.18569,2.6,3.6,3.8,5.2,2.8,2.2,0.055303,0.11432,0.072204,1.2649,1.4298,1.2293,2.5298,0.78881,1.5492,0.035651,0.085254,0.055241,1.12,1.28,1.04,1.92,0.64,1.12,165.45,1900.4
1,0.17097,-0.96134,-0.16104,3.2,8.8,3.4,6,4.2,4.8,0.086708,0.19248,0.08993,1.9322,2.7809,1.075,6.0369,1.8135,4.492,0.074542,0.13481,0.067455,1.76,2.56,0.88,5.6,1.44,4.16,179.35,2060.1
1,0.059467,-0.99065,-0.1698,2.8,8,4,5.6,4.4,4.8,0.085977,0.20472,0.086836,1.2293,1.1547,3.7712,3.0258,3.9215,2.7809,0.070953,0.16002,0.060965,1.04,0.8,2.8,2.72,3.28,2.56,193.61,2224.8
1,0.079125,-1.0143,-0.19366,2.8,3.4,2.8,2.8,6,2.6,0.082204,0.14221,0.090749,1.9322,1.2649,1.5492,1.9322,3.7712,0.5164,0.069852,0.10824,0.05881,1.76,0.96,1.36,1.76,3.2,0.48,208.23,2393.9
1,0.1544,-0.94675,-0.21306,1.2,3.4,3.2,4,2.4,4.2,0.041817,0.12167,0.075684,0.42164,3.0984,0.78881,2.582,1.4298,1.5492,0.035379,0.089417,0.052679,0.32,2.88,0.64,2.4,1.28,1.44,223.18,2565.9
1,0.030415,-0.94308,-0.17013,3.8,2,2,7.8,2.2,4.6,0.054139,0.16971,0.070077,2.7809,0.94281,1.3333,5.35,1.0328,3.8064,0.039476,0.13068,0.052533,2.56,0.8,1.2,4.96,0.72,3.52,238.49,2742.5
1,0.12475,-0.99472,-0.15745,2.4,4.8,4.2,5,6.4,4.6,0.065407,0.19346,0.10116,2.0656,1.5492,2.2509,2.582,3.5653,4.6476,0.048364,0.15825,0.069432,1.68,1.12,1.84,2.4,2.88,4.32,254.13,2923.2
1,0.10718,-1.0152,-0.16955,1.6,6.4,4,1.4,3,4.4,0.092773,0.18461,0.0905,0.84327,2.3664,3.3333,0.84327,2.2111,3.3066,0.081926,0.14366,0.070959,0.72,2.08,2.4,0.64,1.6,2.88,270.09,3107.3
1,0.066187,-1.0089,-0.17583,3.4,5.6,3.4,3.4,2.8,2.4,0.076513,0.20174,0.048272,2.6331,4.2479,3.1693,1.4298,2.7809,1.2649,0.04934,0.14853,0.032994,2.08,3.68,2.48,1.28,2.08,1.12,286.38,3294.4
1,0.15427,-0.89847,-0.14918,2.4,4.2,2,3,2.8,4.2,0.054592,0.094432,0.090731,1.075,3.2931,1.1547,3.1972,2.8597,1.5492,0.039504,0.0595,0.066265,0.88,3.04,0.8,2.4,2.16,1.44,302.97,3485.2
1,0.018665,-0.9733,-0.15751,4.4,1.4,4,3.8,5.4,2.6,0.076286,0.20933,0.096935,2.2706,0.5164,2.582,3.084,3.3066,1.4298,0.054682,0.1543,0.068701,2.08,0.48,2,2.24,2.88,1.28,319.89,3679.1
1,0.11656,-0.99771,-0.13566,3,4.8,3.6,5.6,5.8,3.2,0.075005,0.18802,0.10539,2.1082,2.5298,1.9551,2.0656,2.9364,0.42164,0.055794,0.14722,0.075404,1.6,2.24,1.52,1.92,2.64,0.32,337.11,3876
1,0.090155,-1.0396,-0.18806,2,2.4,4.8,6,4,4,0.095271,0.20668,0.096624,0.94281,2.9515,5.4324,1.1547,4.3716,1.8856,0.083263,0.15468,0.066281,0.8,2.24,4.08,0.8,3.2,1.6,354.63,4076.3
1,0.042874,-0.98612,-0.22744,4,5.8,2,7.2,4.4,5.2,0.063582,0.19807,0.083603,2.6667,0.78881,1.1547,1.5492,4.0332,2.5298,0.053627,0.15536,0.053454,2.4,0.64,0.8,1.12,3.04,1.92,372.44,4280.7
1,0.13609,-0.91154,-0.16194,2,5,2.8,4.4,3,3.6,0.04706,0.11324,0.079162,1.3333,1.7638,0.78881,3.0984,1.3333,3.3731,0.039069,0.084485,0.057603,1.2,1.6,0.64,2.24,1.2,2.56,390.54,4489.2
1,-0.015669,-0.96996,-0.15075,4.2,6.8,3,6.6,3,3.8,0.083554,0.20951,0.064267,3.9101,3.1552,1.8856,4.6476,0.94281,2.7809,0.059126,0.1461,0.048471,3.04,2.56,1.6,4.32,0.8,2.56,408.94,4702
1,0.097696,-0.99809,-0.14564,1.4,4.8,2.2,7,4.8,5.8,0.066255,0.19063,0.10116,0.84327,2.044,0.78881,4.3205,3.2249,4.5412,0.052939,0.14711,0.072948,0.64,1.76,0.64,4,2.56,4.16,427.62,4918.4
1,0.085835,-1.02,-0.19839,2.8,6,3.6,2,3.4,5.6,0.0935,0.16509,0.11272,1.9322,3.4641,2.9515,1.1547,2.1705,4.2479,0.077762,0.12989,0.084906,1.44,3.2,2.72,0.8,1.68,3.68,446.57,5137.8
1,0.026851,-0.95877,-0.22882,2.4,4,2.4,3.2,3.6,2.4,0.062074,0.14492,0.068487,1.075,2.8284,1.075,1.0328,3.2387,1.9551,0.048022,0.11385,0.047114,0.88,2.4,0.88,0.96,2.72,1.44,465.78,5360.3
1,0.1351,-0.91525,-0.14753,3.4,3,3.6,3.8,5,3.6,0.056713,0.13218,0.084916,3.5653,1.7638,2.2706,2.5298,4.3205,0.5164,0.041372,0.095032,0.056094,2.64,1.6,1.92,2.24,3.2,0.48,485.26,5585.6
1,0.012015,-0.99696,-0.15587,1.2,2.2,4.2,7.8,2.4,3.2,0.062175,0.22518,0.08511,0.42164,1.5492,3.6757,1.9322,1.5776,1.0328,0.050152,0.16822,0.064468,0.32,1.44,2.72,1.76,1.28,0.96,505.01,5813.3
1,0.094864,-1.0076,-0.16825,2.6,7,2.2,6.2,3.8,5.6,0.090075,0.16459,0.10265,1.075,4.5704,1.2293,2.5298,3.1552,3.8064,0.070221,0.12981,0.072454,0.88,4,1.04,2.24,2.56,3.52,525.03,6044.3
